Abbreviation,Site,County,State,Latitude,Longitude,Ecoregion (Level III),Ecoregion (Level IV)
5RF022,Robinson Forest Site 3,Breathitt,KY,37.468888,-83.135003,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF023,Robinson Forest Site 3,Breathitt,KY,37.468888,-83.135278,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF024,Robinson Forest Site 3,Breathitt,KY,37.468888,-83.135003,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF025,Robinson Forest Site 3,Breathitt,KY,37.468947,-83.135300,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
BCF304,Indian Fort Trail,Madison,KY,37.5588869,-84.2353672,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BCF305,Indian Fort Trail,Madison,KY,37.5586863,-84.2353410,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BCF306,Indian Fort Trail,Madison,KY,37.5586888,-84.2353448,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BCF312,Indian Fort Trail,Madison,KY,37.5585279,-84.2354471,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP01,East Pinnacle,Madison,KY,37.557687,-84.229163,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP02,East Pinnacle,Madison,KY,37.557980,-84.229438,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP03,East Pinnacle,Madison,KY,37.557678,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP04,East Pinnacle,Madison,KY,37.557500,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP05,East Pinnacle,Madison,KY,37.557680,-84.229180,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP06,East Pinnacle,Madison,KY,37.557378,-84.229095,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP07,East Pinnacle,Madison,KY,37.557712,-84.229120,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP08,East Pinnacle,Madison,KY,37.557500,-84.229163,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP09,East Pinnacle,Madison,KY,37.557730,-84.229155,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP10,East Pinnacle,Madison,KY,37.557788,-84.229120,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP11,East Pinnacle,Madison,KY,37.557662,-84.229072,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP12,East Pinnacle,Madison,KY,37.557837,-84.229133,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP13,East Pinnacle,Madison,KY,37.557813,-84.229172,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP14,East Pinnacle,Madison,KY,37.557820,-84.229142,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP15,East Pinnacle,Madison,KY,37.557778,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP16,East Pinnacle,Madison,KY,37.557722,-84.229128,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP17,East Pinnacle,Madison,KY,37.557787,-84.229112,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP18,East Pinnacle,Madison,KY,37.557778,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP19,East Pinnacle,Madison,KY,37.557622,-84.229103,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP22,East Pinnacle,Madison,KY,37.557500,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP23,East Pinnacle,Madison,KY,37.557778,-84.229447,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP24,East Pinnacle,Madison,KY,37.557500,-84.228888,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP301,East Pinnacle,Madison,KY,37.5583977,-84.2325568,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP307,East Pinnacle,Madison,KY,37.5577939,-84.2289974,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP309,East Pinnacle,Madison,KY,37.5577547,-84.2291494,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP310,East Pinnacle,Madison,KY,37.5577235,-84.2291661,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP311,East Pinnacle,Madison,KY,37.5577868,-84.2291219,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
BEP312,East Pinnacle,Madison,KY,37.5577738,-84.2290412,Western Allegheny Plateau (70),Knobs-Lower Scioto Dissected Plateau (70d)
CC301,Cane Creek WMA,Laurel,KY,37.0485978,-84.2881231,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC302,Cane Creek WMA,Laurel,KY,37.0485268,-84.2882246,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC303,Cane Creek WMA,Laurel,KY,37.0485634,-84.2881277,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC304,Cane Creek WMA,Laurel,KY,37.0485413,-84.2880381,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC305,Cane Creek WMA,Laurel,KY,37.0484653,-84.2880853,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC306,Cane Creek WMA,Laurel,KY,37.0485376,-84.2880676,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC307,Cane Creek WMA,Laurel,KY,37.0485202,-84.2879809,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC308,Cane Creek WMA,Laurel,KY,37.0483036,-84.2880119,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC309,Cane Creek WMA,Laurel,KY,37.0483215,-84.2880208,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC310,Cane Creek WMA,Laurel,KY,37.0482223,-84.2880210,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC311,Cane Creek WMA,Laurel,KY,37.0484161,-84.2879111,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC312,Cane Creek WMA,Laurel,KY,37.0484480,-84.2878886,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC313,Cane Creek WMA,Laurel,KY,37.0485138,-84.2879065,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC314,Cane Creek WMA,Laurel,KY,37.0485665,-84.2879921,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC315,Cane Creek WMA,Laurel,KY,37.0485456,-84.2879719,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC316,Cane Creek WMA,Laurel,KY,37.0487515,-84.2879804,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC317,Cane Creek WMA,Laurel,KY,37.0488553,-84.2875793,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC318,Cane Creek WMA,Laurel,KY,37.0487724,-84.2876295,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC319,Cane Creek WMA,Laurel,KY,37.0489574,-84.2875389,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC320,Cane Creek WMA,Laurel,KY,37.0488127,-84.2876879,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC321,Cane Creek WMA,Laurel,KY,37.0485218,-84.2880747,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC322,Cane Creek WMA,Laurel,KY,37.0485412,-84.2881379,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC323,Cane Creek WMA,Laurel,KY,37.0484462,-84.2881390,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC324,Cane Creek WMA,Laurel,KY,37.0492982,-84.2881033,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC325,Cane Creek WMA,Laurel,KY,37.0481794,-84.2882646,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC326,Cane Creek WMA,Laurel,KY,37.0481068,-84.2882760,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC327,Cane Creek WMA,Laurel,KY,37.0480770,-84.2882360,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC328,Cane Creek WMA,Laurel,KY,37.0480454,-84.2882648,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC329,Cane Creek WMA,Laurel,KY,37.0479285,-84.2883949,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC330,Cane Creek WMA,Laurel,KY,37.0478815,-84.2884204,Southwestern Appalachians (68),Plateau Escarpment (68c)
CC331,Cane Creek WMA,Laurel,KY,37.0484787,-84.2880274,Southwestern Appalachians (68),Plateau Escarpment (68c)
CG12,Cumberland Gap Wilderness Road Trail,Bell,KY,36.609167,-83.678337,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CG13,Cumberland Gap Wilderness Road Trail,Bell,KY,36.609008,-83.678337,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CG14,Cumberland Gap Wilderness Road Trail,Bell,KY,36.608595,-83.677795,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CG22,Cumberland Gap Wilderness Road Trail,Bell,KY,36.608728,-83.678017,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CG24,Cumberland Gap Wilderness Road Trail,Bell,KY,36.608722,-83.677925,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CG25,Cumberland Gap Wilderness Road Trail,Bell,KY,36.606795,-83.6667202,Central Appalachians (69),Cumberland Mountain Thrust Block (69e)
CKY01,Central Kentucky WMA,Madison,KY,37.608278,-84.194970,Interior Plateau (71),Outer Bluegrass (71d)
CKY03,Central Kentucky WMA,Madison,KY,37.608412,-84.195113,Interior Plateau (71),Outer Bluegrass (71d)
CKY04,Central Kentucky WMA,Madison,KY,37.607788,-84.194878,Interior Plateau (71),Outer Bluegrass (71d)
CKY05,Central Kentucky WMA,Madison,KY,37.608587,-84.195222,Interior Plateau (71),Outer Bluegrass (71d)
CKY06,Central Kentucky WMA,Madison,KY,37.607547,-84.194555,Interior Plateau (71),Outer Bluegrass (71d)
CKY07,Central Kentucky WMA,Madison,KY,37.607163,-84.195122,Interior Plateau (71),Outer Bluegrass (71d)
CKY10,Central Kentucky WMA,Madison,KY,37.607770,-84.194655,Interior Plateau (71),Outer Bluegrass (71d)
CKY11,Central Kentucky WMA,Madison,KY,37.607713,-84.194680,Interior Plateau (71),Outer Bluegrass (71d)
CKY12,Central Kentucky WMA,Madison,KY,37.608228,-84.195183,Interior Plateau (71),Outer Bluegrass (71d)
CKY13,Central Kentucky WMA,Madison,KY,37.607655,-84.194922,Interior Plateau (71),Outer Bluegrass (71d)
CKY14,Central Kentucky WMA,Madison,KY,37.607812,-84.194763,Interior Plateau (71),Outer Bluegrass (71d)
CKY15,Central Kentucky WMA,Madison,KY,37.607745,-84.194253,Interior Plateau (71),Outer Bluegrass (71d)
CKY16,Central Kentucky WMA,Madison,KY,37.607822,-84.194642,Interior Plateau (71),Outer Bluegrass (71d)
CKY17,Central Kentucky WMA,Madison,KY,37.607720,-84.194512,Interior Plateau (71),Outer Bluegrass (71d)
CKY18,Central Kentucky WMA,Madison,KY,37.607762,-84.194603,Interior Plateau (71),Outer Bluegrass (71d)
CKY20,Central Kentucky WMA,Madison,KY,37.607855,-84.194497,Interior Plateau (71),Outer Bluegrass (71d)
CKY21,Central Kentucky WMA,Madison,KY,37.607970,-84.194572,Interior Plateau (71),Outer Bluegrass (71d)
CKY22,Central Kentucky WMA,Madison,KY,37.607913,-84.194488,Interior Plateau (71),Outer Bluegrass (71d)
CKY23,Central Kentucky WMA,Madison,KY,37.607850,-84.194550,Interior Plateau (71),Outer Bluegrass (71d)
CKY24,Central Kentucky WMA,Madison,KY,37.608108,-84.194680,Interior Plateau (71),Outer Bluegrass (71d)
F01,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902437,-84.361213,Interior Plateau (71),Inner Bluegrass (71l)
F02,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902128,-84.360725,Interior Plateau (71),Inner Bluegrass (71l)
F03,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902222,-84.361113,Interior Plateau (71),Inner Bluegrass (71l)
F04,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902470,-84.361808,Interior Plateau (71),Inner Bluegrass (71l)
F05,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902500,-84.361663,Interior Plateau (71),Inner Bluegrass (71l)
F06,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902500,-84.361663,Interior Plateau (71),Inner Bluegrass (71l)
F07,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902445,-84.361672,Interior Plateau (71),Inner Bluegrass (71l)
F08,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902662,-84.361695,Interior Plateau (71),Inner Bluegrass (71l)
F09,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902503,-84.361808,Interior Plateau (71),Inner Bluegrass (71l)
F10,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902528,-84.361895,Interior Plateau (71),Inner Bluegrass (71l)
F11,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902605,-84.361808,Interior Plateau (71),Inner Bluegrass (71l)
F12,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902500,-84.361663,Interior Plateau (71),Inner Bluegrass (71l)
F13,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902505,-84.361862,Interior Plateau (71),Inner Bluegrass (71l)
F14,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.902547,-84.361838,Interior Plateau (71),Inner Bluegrass (71l)
F15,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901778,-84.361808,Interior Plateau (71),Inner Bluegrass (71l)
F16,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901658,-84.361245,Interior Plateau (71),Inner Bluegrass (71l)
F17,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901112,-84.360830,Interior Plateau (71),Inner Bluegrass (71l)
F18,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901278,-84.361062,Interior Plateau (71),Inner Bluegrass (71l)
F19,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901253,-84.361228,Interior Plateau (71),Inner Bluegrass (71l)
F20,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.901187,-84.361030,Interior Plateau (71),Inner Bluegrass (71l)
F21,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.899512,-84.362420,Interior Plateau (71),Inner Bluegrass (71l)
F22,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.899222,-84.362730,Interior Plateau (71),Inner Bluegrass (71l)
F23,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.899617,-84.362520,Interior Plateau (71),Inner Bluegrass (71l)
F24,Floracliff Nature Sactuary Zigazg Trail,Fayette,KY,37.899438,-84.362817,Interior Plateau (71),Inner Bluegrass (71l)
JY301,Jackson Yoe Loop,Bullitt,KY,37.9033725,-85.6416102,Interior Plateau (71),Knobs-Norman Upland (71c)
JY302,Jackson Yoe Loop,Bullitt,KY,37.9034343,-85.6416633,Interior Plateau (71),Knobs-Norman Upland (71c)
JY303,Jackson Yoe Loop,Bullitt,KY,37.9034357,-85.6417394,Interior Plateau (71),Knobs-Norman Upland (71c)
JY304,Jackson Yoe Loop,Bullitt,KY,37.9033838,-85.6417097,Interior Plateau (71),Knobs-Norman Upland (71c)
JY305,Jackson Yoe Loop,Bullitt,KY,37.9033634,-85.6416172,Interior Plateau (71),Knobs-Norman Upland (71c)
JY306,Jackson Yoe Loop,Bullitt,KY,37.9033495,-85.6416771,Interior Plateau (71),Knobs-Norman Upland (71c)
JY307,Jackson Yoe Loop,Bullitt,KY,37.9034364,-85.6417818,Interior Plateau (71),Knobs-Norman Upland (71c)
JY308,Jackson Yoe Loop,Bullitt,KY,37.9034255,-85.6416188,Interior Plateau (71),Knobs-Norman Upland (71c)
JY309,Jackson Yoe Loop,Bullitt,KY,37.9033169,-85.6415345,Interior Plateau (71),Knobs-Norman Upland (71c)
JY310,Jackson Yoe Loop,Bullitt,KY,37.9033110,-85.6415991,Interior Plateau (71),Knobs-Norman Upland (71c)
JY311,Jackson Yoe Loop,Bullitt,KY,37.9034723,-85.6415836,Interior Plateau (71),Knobs-Norman Upland (71c)
JY312,Jackson Yoe Loop,Bullitt,KY,37.9032659,-85.6415332,Interior Plateau (71),Knobs-Norman Upland (71c)
LCW301,Lilley Cornett Woods Site 92,Letcher,KY,37.0783466,-83.0012309,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW303,Lilley Cornett Woods Site 92,Letcher,KY,37.0786776,-83.0013445,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW304,Lilley Cornett Woods Site 92,Letcher,KY,37.0785931,-83.0011207,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW305,Lilley Cornett Woods Site 92,Letcher,KY,37.0787349,-83.0012030,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW307,Lilley Cornett Woods Site 92,Letcher,KY,37.0786303,-83.0026889,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW308,Lilley Cornett Woods Site 92,Letcher,KY,37.0785242,-83.0025146,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW309,Lilley Cornett Woods Site 92,Letcher,KY,37.0787313,-83.0027395,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW310,Lilley Cornett Woods Site 92,Letcher,KY,37.0786558,-83.0026767,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW311,Lilley Cornett Woods Site 92,Letcher,KY,37.0785604,-83.0028808,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW312,Lilley Cornett Woods Site 92,Letcher,KY,37.0766525,-83.0029335,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW314,Lilley Cornett Woods Site 92,Letcher,KY,37.0785760,-83.0026432,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LCW316,Lilley Cornett Woods Site 92,Letcher,KY,37.0784377,-83.0026618,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
LHN01,Laura Hare North,Brown,IN,39.17398,-86.14542,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN02,Laura Hare North,Brown,IN,39.17397,-86.14530,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN03,Laura Hare North,Brown,IN,39.17397,-86.14530,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN04,Laura Hare North,Brown,IN,39.17396,-86.14531,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN05,Laura Hare North,Brown,IN,39.17404,-86.14523,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN06,Laura Hare North,Brown,IN,39.17407,-86.14528,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN07,Laura Hare North,Brown,IN,39.17392,-86.14484,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN08,Laura Hare North,Brown,IN,39.17389,-86.14472,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN09,Laura Hare North,Brown,IN,39.17366,-86.14449,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN10,Laura Hare North,Brown,IN,39.17368,-86.14452,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN11,Laura Hare North,Brown,IN,39.17332,-86.14445,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN12,Laura Hare North,Brown,IN,39.17328,-86.14434,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN13,Laura Hare North,Brown,IN,39.17308,-86.14341,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN14,Laura Hare North,Brown,IN,39.17300,-86.14346,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN15,Laura Hare North,Brown,IN,39.17347,-86.14301,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN16,Laura Hare North,Brown,IN,39.17343,-86.14294,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN17,Laura Hare North,Brown,IN,39.17359,-86.14292,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN18,Laura Hare North,Brown,IN,39.17353,-86.14300,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN19,Laura Hare North,Brown,IN,39.17399,-86.14258,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN20,Laura Hare North,Brown,IN,39.17399,-86.14272,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN21,Laura Hare North,Brown,IN,39.17361,-86.14250,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN22,Laura Hare North,Brown,IN,39.17361,-86.14250,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN23,Laura Hare North,Brown,IN,39.17388,-86.14270,Interior Plateau (71),Knobs-Norman Upland (71c)
LHN24,Laura Hare North,Brown,IN,39.17385,-86.14274,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS01,Laura Hare South,Brown,IN,39.17160,-86.14390,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS02,Laura Hare South,Brown,IN,39.17162,-86.14386,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS03,Laura Hare South,Brown,IN,39.17156,-86.14394,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS04,Laura Hare South,Brown,IN,39.17161,-86.14389,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS05,Laura Hare South,Brown,IN,39.17139,-86.14361,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS06,Laura Hare South,Brown,IN,39.17157,-86.14381,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS07,Laura Hare South,Brown,IN,39.17158,-86.14387,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS08,Laura Hare South,Brown,IN,39.17155,-86.14365,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS09,Laura Hare South,Brown,IN,39.17170,-86.14356,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS10,Laura Hare South,Brown,IN,39.17139,-86.14333,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS11,Laura Hare South,Brown,IN,39.17104,-86.14434,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS12,Laura Hare South,Brown,IN,39.17102,-86.14418,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS13,Laura Hare South,Brown,IN,39.17108,-86.14413,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS14,Laura Hare South,Brown,IN,39.17098,-86.14415,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS15,Laura Hare South,Brown,IN,39.17083,-86.14417,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS16,Laura Hare South,Brown,IN,39.17104,-86.14424,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS17,Laura Hare South,Brown,IN,39.17079,-86.14443,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS18,Laura Hare South,Brown,IN,39.17076,-86.14442,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS19,Laura Hare South,Brown,IN,39.17079,-86.14431,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS20,Laura Hare South,Brown,IN,39.17080,-86.14430,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS21,Laura Hare South,Brown,IN,39.17069,-86.14408,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS22,Laura Hare South,Brown,IN,39.17070,-86.14408,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS23,Laura Hare South,Brown,IN,39.17056,-86.14389,Interior Plateau (71),Knobs-Norman Upland (71c)
LHS24,Laura Hare South,Brown,IN,39.17089,-86.14387,Interior Plateau (71),Knobs-Norman Upland (71c)
MCCG101,Mammoth Cave Campground,Edmonson,KY,37.183042,-86.099311,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG102,Mammoth Cave Campground,Edmonson,KY,37.183145,-86.099350,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG103,Mammoth Cave Campground,Edmonson,KY,37.183078,-86.099333,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
